"disease","overview","symptoms","cautions","medications","prevention","treatment"
"Sinusitis","Inflammation/infection of the paranasal sinuses causing nasal blockage, facial pain, and discharge.","facial pain/pressure; nasal congestion; purulent nasal discharge; reduced smell; cough","Seek care for severe facial pain, high fever, or symptoms >10 days without improvement","Analgesics, nasal saline, intranasal corticosteroids; antibiotics if bacterial sinusitis suspected","Avoid upper respiratory infections; manage allergies; nasal hygiene","Supportive care; antibiotics when bacterial infection likely; refer ENT for chronic or recurrent disease"
"Otitis Media (Middle Ear Infection)","Infection or inflammation of the middle ear, common in children, associated with ear pain and sometimes fever.","ear pain; hearing difficulty; fever; irritability (children); ear discharge if perforation","Prompt evaluation in young children; watch for complications like mastoiditis","Analgesics for pain; antibiotics when indicated (age and severity dependent)","Reduce exposure to respiratory infections; breastfeeding in infants reduces risk; avoid smoke exposure","Pain control, watchful waiting in some pediatric cases, antibiotics when indicated, ENT follow-up for recurrent disease"
"Migraine","A neurological headache disorder characterized by recurrent moderate-to-severe headaches often with pulsatile quality and sensory sensitivity.","intense unilateral headache; nausea/vomiting; photophobia; phonophobia; aura in some","Seek care for sudden severe headache, neurological deficits, or new pattern of headaches","Acute treatment: triptans, NSAIDs, antiemetics as appropriate (prescription) ; prophylactic agents for frequent attacks","Identify and avoid triggers (sleep, diet, stress); maintain regular sleep/eating; hydration","Acute abortive therapy tailored to patient; preventive medications and lifestyle measures for frequent migraines; specialist referral for refractory cases"
"Tension Headache","The most common primary headache, often described as band-like pressure around the head; usually less severe than migraine.","bilateral pressing/tightening head pain; mild to moderate intensity; not aggravated by routine activity","Avoid medication overuse (frequent analgesic use can worsen headaches)","Analgesics such as acetaminophen or NSAIDs (use as directed) ; non-pharmacologic measures","Stress management; ergonomic adjustments; regular sleep and hydration","Analgesics for acute pain, relaxation techniques, physiotherapy, and addressing triggers for recurrent cases"
"Gastroenteritis","Inflammation of the stomach and intestines commonly due to viruses, bacteria, or parasites; causes diarrhoea and vomiting.","nausea; vomiting; watery diarrhoea; abdominal cramps; fever in some cases","Prevent dehydration; seek care for severe vomiting, bloody diarrhoea, or signs of dehydration","Oral rehydration solutions; antimotility agents in adults when appropriate; antibiotics for certain bacterial causes","Hand hygiene; safe food handling; clean water; avoid contaminated food/water","Rehydration; dietary management; antimicrobials only when indicated by pathogen; seek care for severe dehydration or bloody diarrhoea"
"Food Poisoning","Illness caused by ingestion of contaminated food or toxins, leading to acute gastrointestinal symptoms.","nausea; vomiting; diarrhoea; abdominal pain; fever in some cases","Report outbreaks; seek care for persistent vomiting, bloody stools, or severe dehydration","Supportive care with rehydration; antibiotics only when specific bacterial pathogens require it","Safe food handling and storage; cook foods thoroughly; avoid cross-contamination; clean water","Supportive care and rehydration; targeted antibiotics if indicated by testing; hospital care for severe cases"
"Gastritis","Inflammation of the stomach lining due to infection (eg H. pylori), medications, alcohol, or stress.","epigastric pain; nausea; vomiting; bloating; loss of appetite","Avoid NSAIDs and alcohol if gastritis suspected; seek prompt care for severe pain or bleeding","Antacids; H2 blockers; proton pump inhibitors; eradication therapy for H. pylori when diagnosed","Avoid NSAIDs and excessive alcohol; balanced diet; treat H. pylori if present","Acid suppression (PPI/H2 blocker), remove offending agents, treat H. pylori when present, dietary modification"
"Peptic Ulcer Disease","Ulceration of the stomach or duodenal lining often related to H. pylori infection or NSAID use.","burning epigastric pain (may improve/worsen with food); nausea; bloating; possible GI bleeding","Seek urgent care for black/tarry stools or vomiting blood; avoid NSAIDs if ulcers suspected","PPI therapy; H. pylori eradication regimens when indicated; avoid NSAIDs","Avoid smoking and NSAIDs; treat H. pylori infection; healthy eating habits","Acid suppression with PPIs, eradicate H. pylori when present, stop NSAIDs, surgical management for complications"
"Gastroesophageal Reflux Disease (GERD)","Chronic reflux of stomach acid into the esophagus causing heartburn and regurgitation.","heartburn; regurgitation; chest discomfort; chronic cough or hoarseness in some","Seek care for difficulty swallowing, weight loss, or bleeding; avoid long-term unsupervised PPI use","Antacids for symptom relief; PPIs for persistent symptoms; lifestyle measures","Avoid trigger foods; elevate head of bed; weight management; avoid late meals and smoking","Lifestyle changes, acid suppression (PPIs), referral for endoscopy if alarm features"
"Irritable Bowel Syndrome (IBS)","A functional gastrointestinal disorder with recurrent abdominal pain and altered bowel habits without structural disease.","abdominal pain; bloating; constipation and/or diarrhoea; mucus in stool","Rule out organic causes if alarm features present (weight loss, bleeding)","Symptom-targeted therapy: antispasmodics, fibre supplements, laxatives or antidiarrheals as appropriate","Dietary modification (low FODMAP for some); stress management; regular exercise","Diet and lifestyle adjustments, pharmacotherapy for dominant symptoms, psychological therapies for some patients"
"Crohn's Disease","A chronic inflammatory bowel disease affecting any part of the GI tract with transmural inflammation.","abdominal pain; diarrhoea (may be bloody); weight loss; fatigue; fever","Requires specialist management; risk of strictures, fistulae and nutritional deficiencies","Aminosalicylates, corticosteroids for flares, immunomodulators and biologics for maintenance as prescribed","No single prevention; smoking cessation may reduce risk of milder disease; vaccination as recommended","Induction therapy for flares with steroids, maintenance with immunosuppressants/biologics, surgery for complications"
"Ulcerative Colitis","A chronic inflammatory disease limited to the colon and rectum causing bloody diarrhoea and urgency.","bloody diarrhoea; abdominal pain; urgency; weight loss; fever in severe cases","Requires gastroenterology follow-up; monitor for colorectal cancer with long-standing disease","5-ASA agents, corticosteroids for flares, immunomodulators or biologics for moderate-severe disease","No proven prevention; regular monitoring and vaccinations as recommended","Medical induction and maintenance therapy tailored to severity; surgery (colectomy) for refractory or complicated disease"
"Hepatitis A","A viral liver infection transmitted via the fecal-oral route, usually self-limited.","fever; malaise; anorexia; nausea; jaundice; dark urine; pale stools","Reportable disease in many regions; maintain hygiene to prevent spread","Supportive care; no specific antivirals for most cases","Hepatitis A vaccination; safe food and water practices; good hand hygiene","Supportive care, rest, hydration; rarely hospitalization for fulminant hepatitis"
"Hepatitis B","A viral infection of the liver that can be acute or chronic, transmitted via blood and bodily fluids.","fatigue; jaundice; abdominal pain; dark urine; joint pain; sometimes asymptomatic","Chronic hepatitis B requires monitoring for liver damage and HCC; vaccination prevents infection","Antivirals for chronic hepatitis B when indicated (tenofovir, entecavir) under specialist care","Hepatitis B vaccination; safe injection practices; safe sex practices","Antiviral therapy for chronic cases per specialist guidance; monitoring for liver disease; supportive care for acute infection"
"Hepatitis C","A viral liver infection transmitted mainly by blood exposure; often becomes chronic and can cause liver cirrhosis.","fatigue; jaundice; abdominal pain; dark urine; often asymptomatic for years","Screen at-risk populations; treatment can cure most cases with antivirals","Direct-acting antivirals (DAAs) under specialist supervision; avoid alcohol to reduce liver damage","Avoid sharing needles; safe medical practices and blood screening; harm reduction services","Curative antiviral regimens (DAAs) prescribed by specialists; liver monitoring and lifestyle measures"
"Pancreatitis","Inflammation of the pancreas that can be acute or chronic, often related to gallstones or alcohol use.","severe upper abdominal pain radiating to back; nausea; vomiting; fever","Seek emergency care for severe abdominal pain and vomiting; can be life-threatening","Supportive hospital care; IV fluids; pain management; treat underlying cause","Limit alcohol; maintain healthy triglycerides; manage gallstones","Hospitalization; fluid resuscitation; pain control; nutritional support; surgery or ERCP if indicated"
"Gallstones","Solid deposits in the gallbladder that can cause pain or complications when obstructing ducts.","episodic right upper quadrant pain; nausea; vomiting; pain after fatty meals","Seek medical care for severe or persistent pain or jaundice","Pain relief (NSAIDs); surgical removal of gallbladder (cholecystectomy) if symptomatic","Maintain healthy weight; balanced diet; avoid crash dieting","Surgical (laparoscopic cholecystectomy) for symptomatic stones; pain control and supportive care"
"Cholecystitis","Inflammation of the gallbladder often due to gallstones blocking the duct.","right upper quadrant pain; fever; nausea; vomiting","Seek urgent care; risk of perforation or sepsis","Antibiotics; pain control; eventual cholecystectomy","Healthy diet; manage cholesterol and weight; avoid fatty foods","Hospital management with IV fluids, antibiotics, and surgical removal of gallbladder"
"Urinary Tract Infection (UTI)","Infection of the urinary tract, most commonly bladder infection in females.","burning urination; frequency; urgency; suprapubic pain; sometimes fever","Increase fluid intake; seek care for fever, flank pain, or recurrent infections","Antibiotics tailored to culture results; analgesics for dysuria","Good hydration; urinate after intercourse; proper hygiene","Antibiotic therapy per sensitivity; manage risk factors for recurrence"
"Pyelonephritis","Kidney infection often ascending from bladder; more serious than cystitis.","fever; flank pain; nausea; vomiting; dysuria","Needs prompt medical care; can progress to sepsis if untreated","Antibiotics (oral or IV depending on severity) under medical supervision","Prevent UTIs; adequate hydration; treat underlying causes","Hospitalization for severe cases; IV antibiotics; fluids; monitoring renal function"
"Kidney Stones","Hard mineral deposits in the urinary tract causing pain and obstruction.","severe flank pain; hematuria; nausea; vomiting","Seek emergency care for uncontrolled pain or infection signs","Pain relief (NSAIDs, opioids if severe); alpha blockers to facilitate passage; surgical removal if needed","Hydration; reduce dietary salt and oxalate; manage calcium intake","Pain management; stone passage facilitation; lithotripsy or surgical removal as indicated"
"Acute Kidney Injury","Sudden decrease in kidney function due to dehydration, medications, or underlying illness.","reduced urine output; swelling; confusion; fatigue","Identify and treat cause early; monitor fluid balance","Supportive care; stop nephrotoxic drugs; dialysis if severe","Stay hydrated; manage chronic diseases; avoid unnecessary nephrotoxins","Hospital management; treat cause; dialysis for severe cases until recovery"
"Chronic Kidney Disease","Progressive loss of kidney function over time, often due to diabetes or hypertension.","fatigue; swelling; nausea; reduced urine output; high BP","Monitor kidney function regularly; control blood sugar and BP","Medications to control BP and diabetes; dietary management; dialysis in late stages","Healthy diet; control BP/diabetes; avoid nephrotoxins","Disease management, slow progression through BP/sugar control, dialysis or transplant for end-stage"
"Urinary Incontinence","Involuntary leakage of urine, various causes (stress, urge, overflow).","urine leakage; urgency; frequency","Address underlying cause; can affect quality of life but not dangerous","Bladder training; pelvic floor exercises; medications or surgical options per type","Maintain healthy weight; avoid bladder irritants; pelvic floor exercises","Behavioral therapy, medications (antimuscarinics, beta-3 agonists), surgery when indicated"
"Prostatitis","Inflammation of the prostate, acute or chronic; bacterial or non-bacterial.","pelvic pain; painful urination; urinary difficulty; fever (acute)","Seek medical care for high fever or urinary retention","Antibiotics for bacterial type; alpha blockers and pain relief for chronic cases","Hydration; avoid prolonged sitting; safe sexual practices","Antibiotic therapy if bacterial; pain management; physiotherapy for chronic pain type"
"Benign Prostatic Hyperplasia (BPH)","Noncancerous enlargement of the prostate causing urinary symptoms in men.","difficulty urinating; weak stream; nocturia; incomplete emptying","Seek care for urinary retention or blood in urine","Alpha blockers; 5-alpha-reductase inhibitors; surgery for refractory cases","Healthy weight; avoid late-night fluids; monitor urinary function","Medication management; minimally invasive or surgical procedures if severe"
"Chlamydia (STI)","A common sexually transmitted infection caused by Chlamydia trachomatis.","often asymptomatic; urethral discharge; dysuria; pelvic pain","Untreated infection may cause infertility; test and treat partners","Antibiotics (azithromycin or doxycycline) under medical supervision","Safe sex; regular screening; partner notification","Antibiotic treatment of patient and partners; retesting to confirm cure"
"Gonorrhea","Bacterial STI caused by Neisseria gonorrhoeae, can infect genital, rectal, and throat areas.","discharge; painful urination; pelvic pain; sometimes asymptomatic","Requires antibiotic treatment; resistance is rising globally","Dual antibiotic therapy per guidelines","Safe sex; regular STI screening","Antibiotic therapy guided by susceptibility; partner treatment and follow-up testing"
"Syphilis","Bacterial STI caused by Treponema pallidum with multiple stages and systemic effects.","painless genital ulcer (chancre); rash; fever; lymphadenopathy","Early diagnosis and treatment prevent complications; notify partners","Penicillin-based antibiotic therapy","Safe sex; routine screening in high-risk groups","Antibiotic treatment (penicillin) appropriate to disease stage; follow-up testing"
"Human Papillomavirus (HPV) Infection","Common viral STI that can cause genital warts and some cancers.","genital warts (some strains); often asymptomatic","Vaccination prevents oncogenic strains; seek care for warts or abnormal Pap test","No antiviral cure; wart treatments (topical, cryotherapy)","HPV vaccination; safe sex; regular Pap screening","Wart removal if present; cancer screening and management as indicated"
"HIV/AIDS","Human Immunodeficiency Virus causes progressive immune deficiency if untreated.","fever; weight loss; night sweats; opportunistic infections; chronic fatigue","Strict adherence to therapy prevents progression; practice safe sex","Antiretroviral therapy (ART) lifelong under medical supervision","Safe sex; sterile needles; HIV testing and early treatment","Combination ART with monitoring; management of opportunistic infections; nutritional support"
"Conjunctivitis (Pink Eye)","Inflammation of the conjunctiva due to infection or allergy; contagious in infectious cases.","eye redness; tearing; discharge; itching; foreign body sensation","Avoid touching eyes; maintain hygiene; avoid contact lens use during infection","Antibiotic drops if bacterial; antihistamines if allergic; supportive care","Hand hygiene; avoid sharing towels; manage allergies","Topical antibiotics if bacterial; antihistamines if allergic; supportive care for viral cases"
"Glaucoma","A group of eye diseases causing optic nerve damage, often associated with raised intraocular pressure.","gradual vision loss; eye pain (acute); halos around lights","Requires lifelong follow-up; untreated leads to blindness","Eye drops to lower pressure; laser or surgery if indicated","Regular eye exams; control systemic risk factors","Medical therapy to lower IOP; laser/surgical interventions for uncontrolled cases"
"Cataract","Clouding of the eye lens leading to visual impairment, usually age-related.","blurred vision; glare; poor night vision; faded colors","Seek ophthalmology evaluation for visual decline","No medical cure; surgery is definitive treatment","Protect eyes from UV light; manage diabetes; avoid smoking","Surgical lens replacement when vision affects daily life"
"Diabetic Retinopathy","Retinal blood vessel damage from chronic high blood sugar leading to vision loss.","blurred vision; floaters; vision loss; poor night vision","Regular eye screening essential; control blood sugar and BP","No medications reverse it; laser therapy or injections slow progression","Strict glycemic control; regular ophthalmic exams","Laser photocoagulation or intravitreal therapy to stabilize vision; manage diabetes aggressively"
"Otitis Externa (Swimmer’s Ear)","Infection of the outer ear canal, often after water exposure.","ear pain; itching; discharge; hearing loss","Avoid water entry until healed; seek care for severe pain or swelling","Topical antibiotic drops; analgesics","Keep ears dry; avoid inserting objects; dry ears after swimming","Topical antibiotic-steroid drops; pain relief; ENT referral for severe or chronic cases"
"Dermatitis (Eczema)","Inflammatory skin condition with itching and rash, often chronic or allergic.","itchy rash; redness; dryness; cracking; sometimes oozing","Avoid scratching; maintain skin moisture; avoid triggers","Topical corticosteroids; emollients; antihistamines for itching","Regular moisturization; avoid irritants; control allergens","Topical therapy; systemic medications for severe cases; patient education on skin care"
"Psoriasis","Chronic immune-mediated skin disease causing scaly plaques.","red patches with silvery scales; itching; joint pain (psoriatic arthritis)","Not contagious; monitor for joint involvement; stress can worsen","Topical steroids; vitamin D analogs; biologic agents for severe disease","Avoid skin injury and stress; maintain moisturization; avoid smoking","Topical/systemic treatments per severity; phototherapy; biologics for severe cases"
"Acne","Common skin condition due to follicular blockage and inflammation.","pimples; blackheads; whiteheads; cysts on face, back, or chest","Avoid picking lesions; some medications are teratogenic (consult clinician)","Topical retinoids; benzoyl peroxide; oral antibiotics; isotretinoin for severe cases","Gentle cleansing; balanced diet; avoid oily cosmetics","Stepwise treatment from topical to systemic; monitor for side effects with retinoids"
"Cellulitis","Bacterial infection of the skin and subcutaneous tissues, often due to Staphylococcus or Streptococcus.","redness; warmth; swelling; pain; sometimes fever","Mark borders to monitor spread; seek urgent care if spreading rapidly or systemic symptoms","Antibiotics (oral or IV depending on severity); analgesics","Prompt wound care; hygiene; manage chronic conditions like diabetes","Antibiotic therapy; limb elevation; pain control; hospital care for severe infections"
"Impetigo","Superficial contagious bacterial skin infection common in children.","honey-colored crusted lesions on face or limbs; itching","Highly contagious; avoid close contact until treated","Topical or oral antibiotics as prescribed","Hygiene; avoid sharing towels; early treatment of skin lesions","Topical antibiotics; oral antibiotics for widespread cases; hygiene measures"
"Shingles (Herpes Zoster)","Reactivation of latent varicella-zoster virus causing painful vesicular rash along dermatomes.","painful rash; tingling; burning sensation; blistering; possible postherpetic neuralgia","Seek care early to start antivirals; contagious to unvaccinated individuals","Antivirals (acyclovir, valacyclovir) if started early; pain management","Varicella-zoster vaccination (older adults); avoid contact with unvaccinated","Antiviral therapy within 72 hours of rash onset; pain management; supportive skin care"
"Herpes Simplex","Viral infection causing oral or genital blisters; recurrent.","painful blisters or ulcers; tingling before outbreaks","Avoid contact during outbreaks; lifelong latency possible","Antiviral therapy (acyclovir, valacyclovir) for outbreaks or suppression","Safe sex; avoid kissing during oral lesions; manage triggers","Antiviral treatment during outbreaks; suppressive therapy for frequent recurrences"
"Measles","A highly contagious viral illness causing rash and fever; preventable by vaccination.","fever; cough; runny nose; conjunctivitis; rash starting on face and spreading","Report suspected cases; isolate to prevent spread; dangerous in malnourished children","Supportive care (fluids, fever control); vitamin A supplementation","MMR vaccination; isolation of cases; good nutrition","Supportive management; treat complications such as pneumonia or dehydration"
"Mumps","Viral infection primarily affecting salivary glands; preventable by MMR vaccine.","fever; swollen tender parotid glands; headache; malaise","Avoid close contact while contagious; complications include orchitis and meningitis","Supportive care (analgesics, hydration)","MMR vaccination; hygiene; avoid sharing utensils","Supportive care; manage complications symptomatically"
"Rubella (German Measles)","Generally mild viral illness but causes severe congenital infection if acquired in pregnancy.","mild fever; rash; lymphadenopathy; joint pain","Avoid exposure during pregnancy; vaccinate before childbearing age","Supportive; no specific antiviral","MMR vaccination; avoid exposure in pregnancy","Supportive treatment; public-health notification"
"Chickenpox (Varicella)","Highly contagious viral infection causing itchy vesicular rash; usually in childhood.","fever; malaise; vesicular rash in crops; itching","Avoid scratching to prevent infection; isolate until crusted lesions","Antihistamines; antivirals (acyclovir) in high-risk cases","Varicella vaccination; avoid contact with infected individuals","Supportive care; antivirals for severe or immunocompromised cases"
"Whooping Cough (Pertussis)","Bacterial respiratory infection causing severe paroxysmal cough; dangerous for infants.","paroxysmal cough; inspiratory ‘whoop’; vomiting after coughing","Highly contagious—notify health authority; vaccinate contacts","Macrolide antibiotics; supportive care","DTaP/Tdap vaccination; early treatment of contacts","Antibiotic therapy; supportive care; oxygen in infants if severe"
"Tetanus","Neurological disease caused by *Clostridium tetani* toxin after contaminated wounds.","muscle stiffness; jaw lockjaw; spasms; difficulty swallowing","Medical emergency; vaccination prevents disease","Tetanus immunoglobulin; wound care; muscle relaxants","Tetanus vaccination; proper wound hygiene","Hospital care with antitoxin, antibiotics, and supportive management"
"Malaria","Mosquito-borne parasitic infection causing fever and anemia; potentially fatal.","fever (often periodic); chills; sweating; headache; fatigue","Seek urgent care if fever in endemic area; can be life-threatening","Antimalarials (artemisinin-based combinations or chloroquine per region)","Use mosquito nets; repellents; remove standing water; prophylaxis when traveling","Prompt antimalarial treatment per national protocol; supportive care for anemia or cerebral malaria"
"Dengue Fever","Viral infection transmitted by *Aedes* mosquitoes causing fever and possible hemorrhage.","high fever; severe headache; muscle/joint pain; rash; bleeding in severe cases","Avoid NSAIDs if dengue suspected; monitor for warning signs (bleeding, abdominal pain)","Supportive only—fluids, paracetamol; no specific antiviral","Mosquito control; eliminate stagnant water; protective clothing","Supportive management; IV fluids for severe dengue; monitoring of platelets and vitals"
"Chikungunya","Mosquito-borne viral illness similar to dengue but marked by joint pains.","fever; severe joint pain; rash; headache","Usually self-limited; rest joints to prevent chronic pain","Supportive (analgesics, fluids); avoid NSAIDs until dengue ruled out","Mosquito control; repellents; avoid bites","Supportive care; physiotherapy for persistent arthralgia"
"Cholera","Acute diarrheal illness from *Vibrio cholerae* due to contaminated food or water.","profuse watery diarrhoea (‘rice-water’ stools); vomiting; dehydration","Rapid dehydration can be fatal; oral or IV rehydration critical","Oral rehydration salts; IV fluids; antibiotics shorten duration","Safe water; sanitation; oral cholera vaccine","Aggressive rehydration; antibiotics (doxycycline/azithromycin) per guidelines"
"Typhoid Fever","Systemic bacterial infection by *Salmonella typhi*, spread via fecal-oral route.","prolonged fever; abdominal pain; headache; constipation or diarrhoea; rash","Seek care early; untreated cases can cause intestinal perforation","Antibiotics (ceftriaxone, azithromycin, or others per sensitivity)","Safe food/water; vaccination; hygiene","Appropriate antibiotic therapy; rehydration; rest; monitor for complications"
"Polio (Poliomyelitis)","Viral infection that can cause paralysis; largely eradicated by vaccination.","fever; sore throat; weakness; in severe cases paralysis","Report immediately; ensure vaccination coverage","Supportive; no specific antiviral","Oral/inactivated polio vaccination (OPV/IPV); sanitation","Supportive care; physical therapy for paralysis; respiratory support if needed"
"Leprosy (Hansen’s Disease)","Chronic infection by *Mycobacterium leprae* affecting skin, nerves, and mucosa.","numb skin patches; muscle weakness; deformities; loss of sensation","Avoid stigma; prolonged treatment needed; notify public-health program","Multidrug therapy (dapsone, rifampicin, clofazimine)","Early detection; treatment of contacts; hygiene","Multidrug therapy under national program; rehabilitation for disabilities"
"Sepsis","Life-threatening organ dysfunction from dysregulated body response to infection.","fever or hypothermia; confusion; rapid heartbeat; low BP; reduced urine","Medical emergency—requires ICU management","IV fluids; antibiotics; organ support","Prompt infection control; vaccination; early treatment of infections","Hospital management with broad-spectrum antibiotics and organ support"
"Appendicitis","Inflammation of the appendix; surgical emergency if perforated.","abdominal pain starting around navel shifting to right lower quadrant; nausea; fever","Seek emergency care—risk of rupture and peritonitis","Pre-operative antibiotics","No prevention; early recognition critical","Surgical removal (appendectomy); antibiotics; postoperative care"
"Hernia","Protrusion of an organ or tissue through a weak spot in the muscle wall, often abdominal.","bulge/swelling; discomfort; pain on exertion; sometimes asymptomatic","Avoid heavy lifting; seek care for sudden severe pain (strangulation)","No medication cures; supportive truss temporarily","Maintain healthy weight; avoid straining; treat chronic cough/constipation","Surgical repair (herniorrhaphy/hernioplasty) is definitive treatment"
"Osteoporosis","Low bone density increasing fracture risk, especially in older adults.","bone pain; fractures after minor trauma; height loss","Ensure adequate calcium/vitamin D; avoid falls","Calcium/vitamin D supplements; bisphosphonates; others under doctor guidance","Calcium-rich diet; weight-bearing exercise; avoid smoking/alcohol","Medications to strengthen bone; physiotherapy; fall-prevention measures"
"Osteoarthritis","Degenerative joint disease due to cartilage wear, common in knees and hips.","joint pain; stiffness; limited mobility; crepitus","Maintain healthy weight; avoid overuse; seek physiotherapy","Analgesics; NSAIDs; joint injections; physiotherapy","Weight control; low-impact exercise; ergonomics","Pain relief; physical therapy; joint replacement in severe cases"
"Rheumatoid Arthritis","Chronic autoimmune inflammatory arthritis causing joint destruction.","morning stiffness; joint pain/swelling; fatigue","Early treatment prevents deformities; monitor drug side effects","DMARDs (methotrexate, biologics) under specialist care","No specific prevention; early diagnosis improves outcome","Long-term DMARD therapy; physiotherapy; surgery for joint damage"
"Gout","Inflammatory arthritis caused by uric-acid crystal deposition.","sudden joint pain (often big toe); swelling; redness","Avoid alcohol excess; review medications; seek care for recurrent attacks","NSAIDs; colchicine; urate-lowering therapy (allopurinol)","Limit purine-rich foods; hydration; weight management","Acute attack management with NSAIDs/colchicine; urate-lowering therapy long-term"
"Lupus (SLE)","Autoimmune disease affecting multiple organs with variable symptoms.","fatigue; joint pain; rash; fever; organ involvement","Avoid sun exposure; monitor regularly; medication adherence","Corticosteroids; immunosuppressants; antimalarials (hydroxychloroquine)","Avoid UV exposure; balanced rest; vaccinations; stress control","Immunosuppressive therapy tailored to organ involvement; supportive care"
