Disease,Overview,Symptoms,Causes,Treatments,Medications
Stroke,"An acute neurological deficit due to ischemia (clot) or hemorrhage in the brain; time-sensitive emergency.","Sudden weakness or numbness (face/arm/leg), Difficulty speaking/understanding, Vision disturbance, Sudden severe headache, Loss of balance","Ischemic causes: thromboembolism (atherosclerosis, atrial fibrillation); Hemorrhagic: hypertension, aneurysm rupture; risk factors: hypertension, diabetes, smoking","Immediate emergency assessment, CT/MRI to determine type, thrombolysis or thrombectomy for eligible ischemic strokes, blood pressure management, rehabilitation","Ischemic stroke: antiplatelets (aspirin) after evaluation; anticoagulation for cardioembolic stroke prevention (warfarin/DOACs) when indicated"
Chronic Obstructive Pulmonary Disease (COPD),"A progressive obstructive lung disease (emphysema and chronic bronchitis) usually caused by long-term exposure to noxious particles, especially tobacco smoke.","Chronic cough, Sputum production, Dyspnea on exertion, Wheeze, Recurrent respiratory infections","Long-term smoking (primary cause), occupational dusts, air pollution, genetic factors (alpha-1 antitrypsin deficiency)","Smoking cessation, bronchodilator therapy, pulmonary rehabilitation, vaccinations, oxygen therapy for advanced disease","Bronchodilators: Short- and long-acting beta-agonists (salbutamol, salmeterol), Antimuscarinics (ipratropium, tiotropium), Inhaled corticosteroids for some"
Alzheimer's disease,"A progressive neurodegenerative disorder and the most common cause of dementia, characterized by memory loss and cognitive decline.","Progressive memory impairment, Difficulty with language and executive function, Disorientation, Behavioral changes","Age, genetic risk factors (e.g., APOE4), accumulation of amyloid-beta plaques and tau tangles (pathologic hallmarks)","Cognitive and behavioral interventions, caregiver support, optimize comorbidities and safety, advance care planning","Cholinesterase inhibitors (donepezil, rivastigmine) for mild-to-moderate symptoms, Memantine for moderate-to-severe disease"
Parkinson's disease,"A progressive movement disorder due to loss of dopaminergic neurons, causing tremor, stiffness and slowness.","Resting tremor, Bradykinesia (slowness), Muscle rigidity, Postural instability, Gait disturbance","Degeneration of substantia nigra dopaminergic neurons; genetic and environmental contributors","Dopaminergic replacement therapy, physiotherapy, occupational therapy, surgical options (deep brain stimulation) in selected patients","Levodopa combined with carbidopa, Dopamine agonists (pramipexole), MAO-B inhibitors (selegiline)"
Hepatitis B,"A viral infection of the liver that can be acute or chronic; chronic infection increases risk of cirrhosis and hepatocellular carcinoma.","Fatigue, Jaundice, Dark urine, Abdominal pain, Loss of appetite (many are asymptomatic early)","Infection with hepatitis B virus transmitted via blood, sexual contact, perinatal transmission","Acute: supportive care; Chronic: antiviral therapy to suppress replication, monitor liver function and screen for complications, vaccination for prevention","Antivirals for chronic infection: Tenofovir, Entecavir; vaccines for prevention"
Hepatitis C,"A blood-borne viral infection of the liver that often becomes chronic but is curable with modern antivirals.","Often asymptomatic initially; fatigue, jaundice, abdominal discomfort, elevated liver enzymes in some","Hepatitis C virus transmitted via blood (needles, transfusion, medical procedures)","Diagnosis with HCV RNA testing; highly effective direct-acting antivirals (DAAs) to achieve cure; monitor liver for fibrosis/cirrhosis","Direct-acting antiviral regimens (sofosbuvir-based combinations) tailored per genotype and guidelines"
HIV/AIDS,"A viral infection that progressively impairs the immune system if untreated; modern antiretroviral therapy (ART) controls the virus.","Acute: fever, sore throat, rash; chronic: weight loss, recurrent infections, night sweats if untreated","Human Immunodeficiency Virus transmitted via blood, sexual contact, perinatal transmission","Lifelong antiretroviral therapy to suppress viral load, prophylaxis for opportunistic infections, monitoring and support services","Combination ART regimens (e.g., tenofovir + lamivudine/emtricitabine + integrase inhibitor such as dolutegravir) per guidelines"
Influenza,"A seasonal respiratory infection caused by influenza viruses; can cause epidemics and severe illness in high-risk people.","Abrupt fever, Chills, Cough, Sore throat, Myalgia, Fatigue, Headache","Infection with influenza A or B via respiratory droplets; seasonal antigenic variation","Supportive care, antivirals when indicated (high-risk or early treatment), annual vaccination for prevention","Oseltamivir for treatment in selected patients; supportive antipyretics and fluids"
Chickenpox (Varicella),"A primary varicella zoster virus infection causing vesicular rash; usually mild in children but can be severe in adults or immunocompromised.","Fever, Itchy vesicular rash in crops, Malaise","Varicella-zoster virus via respiratory droplets and direct contact; contagious","Supportive care for uncomplicated cases (antipruritics, hydration), acyclovir for severe or high-risk patients, vaccination for prevention","Acyclovir in severe cases or high-risk patients; symptomatic treatment with antihistamines and topical agents"
Measles,"A highly contagious viral illness that causes fever and characteristic rash and can lead to serious complications.","High fever, Cough, Coryza (runny nose), Conjunctivitis, Koplik spots, Maculopapular rash","Measles virus via respiratory droplets; low vaccination coverage increases outbreaks","Supportive care, vitamin A supplementation in children with severe disease, strict airborne precautions, vaccination (MMR) for prevention","Supportive only; vitamin A recommended in severe pediatric cases; prevention via MMR vaccine"
Otitis Media,"Inflammation/infection of the middle ear, common in children and often following upper respiratory infection.","Ear pain (otalgia), Fever, Irritability in children, Hearing difficulty, Ear discharge if perforation","Eustachian tube dysfunction after cold/allergy, viral or bacterial infection (e.g., Streptococcus pneumoniae)","Pain control and watchful waiting for mild cases, antibiotics for persistent or severe bacterial cases, tympanostomy tubes for recurrent disease","Analgesics (paracetamol/ibuprofen), Amoxicillin for bacterial otitis media when indicated"
Gastroenteritis (Acute),"Inflammation of the stomach and intestines leading to diarrhea and vomiting; commonly viral but can be bacterial or parasitic.","Watery diarrhea, Vomiting, Abdominal cramps, Fever (sometimes), Dehydration risk","Viral pathogens (norovirus, rotavirus), bacterial (Salmonella, E. coli), contaminated food/water, person-to-person spread","Oral rehydration therapy, maintain nutrition, antiemetics if severe, antibiotics only for certain bacterial causes or vulnerable patients","Oral rehydration salts for all; antibiotics (e.g., azithromycin) only when indicated by pathogen and severity"
Peptic Ulcer Disease,"Mucosal ulceration of the stomach or duodenum causing epigastric pain; commonly due to H. pylori or NSAID use.","Burning epigastric pain, Worse with fasting or at night, Belching, Nausea, GI bleeding if severe","Helicobacter pylori infection, NSAID or aspirin use, smoking, stress-related factors","Test and eradicate H. pylori if present, acid suppression with proton pump inhibitors, avoid NSAIDs, endoscopic management for bleeding","Proton pump inhibitors (omeprazole), H. pylori eradication regimens (PPI + clarithromycin + amoxicillin/metronidazole), H2 blockers as alternatives"
Gastritis,"Inflammation of the stomach lining causing pain and dyspeptic symptoms; can be acute or chronic.","Upper abdominal discomfort, Nausea, Bloating, Loss of appetite, Heartburn","H. pylori infection, NSAIDs, alcohol, stress, bile reflux, autoimmune causes","Address underlying cause (stop NSAIDs, eradicate H. pylori), acid suppression, dietary modification","Proton pump inhibitors (omeprazole), Antacids, H. pylori eradication therapy when indicated"
Allergic Rhinitis,"An allergic inflammation of nasal mucosa producing sneezing, congestion and rhinorrhea in response to airborne allergens.","Sneezing, Nasal itching, Runny nose (rhinorrhea), Nasal congestion, Watery eyes","IgE-mediated reaction to airborne allergens (pollen, dust mites, animal dander), seasonal or perennial","Avoidance of triggers, intranasal corticosteroids for control, oral antihistamines for symptoms, saline nasal irrigation","Intranasal corticosteroids (fluticasone), Oral antihistamines (cetirizine), Nasal antihistamine sprays"
Influenza (added separate entry),"An acute viral respiratory infection causing seasonal outbreaks and systemic symptoms; can be severe in high-risk groups.","Sudden fever, Chills, Cough, Sore throat, Muscle aches, Fatigue","Infection by influenza A or B viruses transmitted by respiratory droplets","Rest, hydration, antivirals in high-risk/early treatment, annual vaccination","Oseltamivir (in selected patients), Supportive care"
Common Cold,"A mild upper respiratory viral infection caused by rhinoviruses and others; self-limited.","Runny or stuffy nose, Sneezing, Sore throat, Cough, Mild fever in some","Rhinoviruses, coronaviruses, adenoviruses transmitted via droplets and contact","Supportive care: rest, fluids, symptomatic treatment (decongestants, analgesics), hand hygiene to prevent spread","Symptomatic: Paracetamol or ibuprofen for fever/pain, decongestants, saline nasal sprays"
Bronchitis,"Inflammation of the bronchial airways causing cough; acute bronchitis is usually viral and self-limited.","Cough (may be productive), Wheeze, Chest discomfort, Mild fever","Usually viral infections (influenza, rhinovirus), smoking, air pollution; chronic bronchitis linked to smoking and COPD","Acute: symptomatic treatment (fluids, cough relief), bronchodilators if wheeze; chronic: smoking cessation, bronchodilators, pulmonary rehab","Symptomatic therapy; bronchodilators (salbutamol) if wheezy; antibiotics only if bacterial superinfection suspected"
Sinusitis,"Inflammation of paranasal sinuses causing facial pain, nasal obstruction and discharge; may be acute or chronic.","Facial pain/pressure, Nasal congestion, Thick purulent nasal discharge, Reduced sense of smell, Headache","Viral upper respiratory infection, bacterial infection, allergic rhinitis, anatomical blockage","Most acute cases resolve with symptomatic care; antibiotics for persistent bacterial sinusitis, nasal corticosteroids, saline irrigation, address allergies","Intranasal corticosteroids, Oral antibiotics (amoxicillin-clavulanate) for bacterial cases, Analgesics"
Tonsillitis,"Inflammation/infection of the tonsils causing sore throat and fever; commonly viral but may be bacterial.","Severe sore throat, Difficulty swallowing, Fever, Tonsillar swelling/exudate, Tender cervical lymph nodes","Viral infections (most common) or bacterial (e.g., Group A Streptococcus), recurrent infections","Supportive care for viral; antibiotics for confirmed bacterial infection; tonsillectomy for recurrent severe cases","Analgesics for pain; antibiotics (penicillin or amoxicillin) for streptococcal tonsillitis"
Otitis Media (already included as Otitis Media),"See Otitis Media entry above.","See Otitis Media entry above.","See Otitis Media entry above.","See Otitis Media entry above.","See Otitis Media entry above."
Arthritis,"Joint pain, Stiffness, Swelling, Reduced motion","Aging, Autoimmune disorders, Joint injury","Physical therapy, Pain management, Exercise","Ibuprofen, Naproxen, Methotrexate","Arthritis is inflammation of one or more joints, causing pain and stiffness that can worsen with age."
Bronchitis,"Cough with mucus, Fatigue, Shortness of breath, Chest discomfort","Viral infection, Smoking, Air pollution","Rest, Hydration, Avoid smoking","Azithromycin (if bacterial), Cough suppressants","Bronchitis occurs when the bronchial tubes become inflamed and produce excess mucus."
Sinusitis,"Facial pain, Nasal congestion, Headache, Fever","Viral or bacterial infection, Allergies","Steam inhalation, Nasal sprays, Antibiotics if bacterial","Amoxicillin, Decongestants","Sinusitis is inflammation or swelling of the tissue lining the sinuses, often following a cold or allergy."
Gallstones,"Abdominal pain, Nausea, Vomiting, Jaundice","High cholesterol, Obesity, Rapid weight loss","Surgery (cholecystectomy), Dietary changes","Ursodiol","Gallstones are hardened deposits of digestive fluid that form in the gallbladder."
Gastroenteritis,"Diarrhea, Vomiting, Abdominal cramps, Fever","Viral or bacterial infection, Contaminated food","Hydration, Rest, Light diet","Oral rehydration salts, Antiemetics","Gastroenteritis is inflammation of the stomach and intestines, usually caused by an infection."
Gastritis,"Abdominal pain, Bloating, Nausea, Indigestion","Helicobacter pylori infection, Alcohol, NSAIDs","Avoid irritants, Acid-reducing medication","Omeprazole, Pantoprazole, Antacids","Gastritis is inflammation of the stomach lining often caused by infection or excessive alcohol use."
Peptic Ulcer,"Stomach pain, Nausea, Bloating, Vomiting","Helicobacter pylori infection, Long-term NSAID use","Antibiotics, Acid suppression therapy","Omeprazole, Clarithromycin, Amoxicillin","Peptic ulcers are open sores that develop on the inner lining of the stomach or duodenum."
Chronic Kidney Disease,"Fatigue, Swelling, Nausea, Loss of appetite","Diabetes, Hypertension, Genetic factors","Dialysis, Blood pressure control, Diet management","ACE inhibitors, Erythropoietin","CKD is a gradual loss of kidney function that filters waste and excess fluids from blood."
Urinary Tract Infection,"Burning urination, Frequent urination, Cloudy urine, Lower abdominal pain","Bacterial infection (E. coli)","Antibiotic therapy, Increased fluid intake","Ciprofloxacin, Nitrofurantoin, Trimethoprim","UTIs are infections in any part of the urinary system, often caused by bacteria."
Hepatitis A,"Fatigue, Jaundice, Abdominal pain, Nausea","Hepatitis A virus (HAV), Contaminated food/water","Rest, Hydration, Avoid alcohol","No specific drug, Supportive care","Hepatitis A is a viral liver infection that spreads through contaminated food or water."
Hepatitis B,"Fatigue, Jaundice, Dark urine, Joint pain","Hepatitis B virus (HBV)","Antiviral medication, Rest, Regular monitoring","Tenofovir, Entecavir, Interferon","Hepatitis B affects the liver and can become chronic, leading to liver damage or cancer."
Hepatitis C,"Fatigue, Jaundice, Muscle pain, Nausea","Hepatitis C virus (HCV), Blood-to-blood contact","Antiviral therapy","Sofosbuvir, Ledipasvir, Ribavirin","Hepatitis C causes liver inflammation and is mainly spread through infected blood."
Appendicitis,"Severe abdominal pain (lower right), Fever, Nausea, Loss of appetite","Blockage in appendix, Infection","Surgical removal of appendix","Pain relievers, Antibiotics before surgery","Appendicitis is inflammation of the appendix requiring prompt surgical treatment."
Influenza,"Fever, Cough, Sore throat, Muscle aches","Influenza virus","Rest, Hydration, Antiviral medication","Oseltamivir (Tamiflu), Paracetamol","Influenza (flu) is a contagious respiratory illness caused by influenza viruses."
Chickenpox,"Itchy rash, Fever, Fatigue, Loss of appetite","Varicella-zoster virus","Rest, Oatmeal baths, Antihistamines","Acyclovir (severe cases), Calamine lotion","Chickenpox is a common viral infection that causes an itchy, blister-like rash."
Measles,"Fever, Cough, Rash, Red eyes","Measles virus (paramyxovirus)","Supportive care, Vitamin A supplements","Paracetamol, IV fluids","Measles is a highly contagious viral infection causing a red rash and flu-like symptoms."
Mumps,"Swollen salivary glands, Fever, Headache, Muscle pain","Mumps virus","Rest, Hydration, Pain relief","Paracetamol, Ibuprofen","Mumps is a viral infection that affects the salivary glands near the ears, causing swelling and pain."
Rubella,"Rash, Fever, Swollen glands, Joint pain","Rubella virus","Supportive care","Paracetamol, Ibuprofen","Rubella (German measles) is a mild viral infection that can cause serious birth defects if contracted during pregnancy."
Tonsillitis,"Sore throat, Fever, Difficulty swallowing, Swollen tonsils","Viral or bacterial infection","Rest, Saltwater gargles, Antibiotics if bacterial","Amoxicillin, Azithromycin","Tonsillitis is inflammation of the tonsils, often caused by infection."
Otitis Media,"Ear pain, Fever, Hearing loss, Fluid drainage","Bacterial or viral infection","Pain management, Antibiotics if severe","Amoxicillin, Ibuprofen","Otitis media is an infection of the middle ear, common in children."
Conjunctivitis,"Red eyes, Itching, Discharge, Swollen eyelids","Viral or bacterial infection, Allergies","Warm compresses, Eye drops, Avoid touching eyes","Ciprofloxacin eye drops, Antihistamine drops","Conjunctivitis, or pink eye, is inflammation of the membrane covering the white part of the eye."
Psoriasis,"Red scaly patches, Itching, Dry skin, Cracked skin","Autoimmune disorder, Genetics, Stress","Topical therapy, Phototherapy, Medication","Corticosteroid creams, Methotrexate","Psoriasis is a chronic autoimmune skin condition that speeds up skin cell growth."
Eczema,"Itchy skin, Red patches, Cracks, Dryness","Allergies, Immune system dysfunction","Moisturizers, Avoid triggers, Steroid creams","Hydrocortisone, Antihistamines","Eczema is an inflammatory skin condition causing dry, itchy, and red skin."
Scabies,"Intense itching, Rash, Blisters, Skin irritation","Mite infestation (Sarcoptes scabiei)","Topical creams, Washing clothes/bedding","Permethrin, Ivermectin","Scabies is a contagious skin infestation caused by tiny mites that burrow into the skin."
Ringworm,"Circular rash, Itching, Redness, Scaling","Fungal infection","Topical antifungal cream","Clotrimazole, Terbinafine","Ringworm is a common fungal skin infection forming circular, ring-like rashes."
Chickenpox Shingles,"Painful rash, Blisters, Burning sensation","Reactivation of varicella-zoster virus","Antiviral therapy, Pain relief","Acyclovir, Valacyclovir","Shingles (Herpes Zoster) occurs when the chickenpox virus reactivates later in life."
Allergic Rhinitis,"Sneezing, Runny nose, Itchy eyes, Nasal congestion","Allergens (dust, pollen, pets)","Avoid allergens, Antihistamines, Nasal sprays","Cetirizine, Loratadine, Fluticasone","Allergic rhinitis is an allergic reaction causing inflammation of the nasal passages."
Obesity,"Weight gain, Fatigue, Shortness of breath, Joint pain","Overeating, Genetics, Lack of exercise","Diet control, Physical activity, Counseling","Orlistat","Obesity is excess body fat accumulation increasing risk of heart disease and diabetes."
Hyperthyroidism,"Weight loss, Rapid heartbeat, Anxiety, Tremors","Overactive thyroid gland, Graves’ disease","Medication, Radioactive iodine therapy","Methimazole, Propylthiouracil","Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone."
Hypothyroidism,"Fatigue, Weight gain, Cold intolerance, Dry skin","Underactive thyroid gland, Iodine deficiency","Hormone replacement therapy","Levothyroxine","Hypothyroidism occurs when the thyroid does not produce enough hormones, slowing metabolism."
Polycystic Ovary Syndrome (PCOS),"Irregular periods, Weight gain, Acne, Excess hair growth","Hormonal imbalance, Genetics","Lifestyle changes, Hormonal therapy","Metformin, Oral contraceptives","PCOS is a hormonal disorder causing enlarged ovaries with small cysts, affecting fertility."
Anxiety Disorder,"Excessive worry, Restlessness, Fatigue, Insomnia","Stress, Genetics, Brain chemistry","Therapy, Relaxation techniques, Medication","SSRIs, Benzodiazepines","Anxiety disorder causes persistent fear or worry that interferes with daily life."
Depression,"Sadness, Fatigue, Loss of interest, Insomnia","Chemical imbalance, Trauma, Genetics","Therapy, Exercise, Medication","SSRIs, Sertraline, Fluoxetine","Depression is a mood disorder that causes persistent sadness and loss of interest in activities."
Hypothyroidism,"A condition where the thyroid gland does not produce enough thyroid hormones, slowing metabolism and body functions.","Fatigue, Weight gain, Cold intolerance, Constipation, Dry skin, Hair loss, Slowed heart rate","Autoimmune thyroiditis (Hashimoto's), thyroid surgery or radiation, certain medications, iodine deficiency","Thyroid hormone replacement, monitor TSH and adjust dose, treat associated symptoms and risk factors","Levothyroxine (synthetic T4) administered orally with dose titration by TSH levels"
Hyperthyroidism,"Excess production of thyroid hormones leading to increased metabolic rate and sympathetic symptoms.","Weight loss, Heat intolerance, Palpitations, Tremor, Nervousness, Increased sweating, Diarrhea","Graves' disease (autoimmune), toxic multinodular goiter, excessive thyroid hormone intake","Antithyroid medications, radioactive iodine ablation, beta-blockers for symptomatic control, surgery in select cases","Methimazole or Propylthiouracil (antithyroid drugs); Beta-blockers (propranolol) to control symptoms"
Polycystic Ovary Syndrome (PCOS),"A hormonal disorder in people with ovaries, characterized by irregular periods, hyperandrogenism and polycystic ovaries; associated with metabolic risks.","Irregular menstrual cycles, Acne, Excess hair growth (hirsutism), Weight gain, Infertility","Insulin resistance, genetic predisposition, hormonal imbalance (excess androgens)","Lifestyle modification (weight loss, exercise), hormonal regulation (combined oral contraceptives), ovulation induction for fertility, manage metabolic issues","Metformin for insulin resistance, Combined oral contraceptives for cycle control, Clomiphene or letrozole for ovulation induction"
Menstrual Disorders,"A group of conditions causing abnormal menstrual bleeding, painful periods or irregular cycles.","Heavy menstrual bleeding, Irregular cycles, Painful cramps (dysmenorrhea), Spotting between periods","Hormonal imbalances, uterine fibroids, polyps, coagulation disorders, pregnancy-related causes, ovulatory dysfunction","Treat underlying cause, hormonal therapy (combined oral contraceptives, progestins), NSAIDs for pain, surgical options for structural causes","NSAIDs for pain (ibuprofen), Tranexamic acid for heavy bleeding in select cases, hormonal therapies for regulation"
Menopause Symptoms,"Physiological transition marking end of menstruation, often accompanied by vasomotor and genitourinary symptoms.","Hot flashes, Night sweats, Vaginal dryness, Mood changes, Sleep disturbances","Decline in ovarian estrogen production with age and hormonal changes","Lifestyle measures, non-hormonal therapies for symptoms, hormone replacement therapy (HRT) for selected patients after risk-benefit discussion","Vasomotor symptom options: Low-dose HRT for appropriate candidates; non-hormonal: SSRIs/SNRIs, clonidine; vaginal estrogen for local urogenital symptoms"
Erectile Dysfunction (ED),"The inability to achieve or maintain an erection sufficient for satisfactory sexual performance.","Difficulty achieving erection, Reduced rigidity, Decreased sexual confidence, Relationship stress","Vascular disease, diabetes, neurological disorders, medications, psychological factors, low testosterone","Address underlying causes (cardiometabolic health), lifestyle changes, PDE5 inhibitors, vacuum devices, counseling for psychogenic ED","PDE5 inhibitors: Sildenafil, Tadalafil, Vardenafil (use with caution and contraindications screening)"
Benign Prostatic Hyperplasia (BPH),"Noncancerous enlargement of the prostate gland causing lower urinary tract symptoms in older men.","Nocturia, Increased urinary frequency, Hesitancy, Weak stream, Incomplete bladder emptying","Age-related prostate growth and hormonal influences (androgens)","Watchful waiting for mild cases, medical therapy to relax prostate/muscle tone, surgical options if obstructive or refractory","Alpha-blockers (tamsulosin) to improve flow, 5-alpha-reductase inhibitors (finasteride) to reduce prostate size; surgical options like TURP"
Acne,"A common skin condition involving blocked hair follicles and inflammation, often on the face, chest and back.","Comedones (blackheads/whiteheads), Papules, Pustules, Nodules, Scarring in severe disease","Follicular hyperkeratinization, excess sebum production, Cutibacterium acnes proliferation, hormonal influences","Topical therapies for mild disease, oral antibiotics for moderate inflammatory acne, retinoids, hormonal treatments for female patients","Topical benzoyl peroxide, Topical retinoids (tretinoin), Oral doxycycline for inflammatory acne, Oral isotretinoin for severe nodulocystic cases under specialist supervision"
Eczema (Atopic Dermatitis),"A chronic inflammatory skin condition causing itchy, red, and scaly skin, often starting in childhood.","Intense itching, Red or brownish-gray patches, Dry skin, Oozing or crusting in flares","Genetic predisposition, skin barrier dysfunction, immune dysregulation, environmental triggers (allergens, irritants)","Skin hydration and emollients, topical corticosteroids for flares, topical calcineurin inhibitors, identify and avoid triggers","Topical emollients, Topical corticosteroids for flares, Topical calcineurin inhibitors (tacrolimus) for sensitive areas; systemic immunomodulators in severe cases"
Fungal Skin Infection (Ringworm/Tinea),"Superficial fungal infections of the skin causing characteristic ring-shaped lesions.","Itchy circular red patch with central clearing, scaling, spread outward from center","Dermatophyte fungi (Trichophyton, Microsporum, Epidermophyton) transmitted by contact, moist environments","Topical antifungals for localized disease, oral antifungals for extensive or hair/nail involvement, hygiene measures","Topical azoles (clotrimazole, miconazole) for skin; Oral terbinafine or itraconazole for nail/scalp infections"
Athlete's Foot (Tinea Pedis),"A fungal infection of the feet commonly between toes and on soles, causing itching and scaling.","Itching, Burning, Peeling or cracking skin between toes, Foul odor in some cases","Dermatophyte infection often acquired from communal wet areas, occlusive footwear increases risk","Topical antifungal creams and powders, keeping feet dry and ventilated, change socks and footwear regularly","Topical terbinafine, topical azoles (miconazole), oral antifungals for severe or recalcitrant cases"
Mumps,"A viral infection causing painful swelling of the salivary glands, mainly parotid glands.","Fever, Swollen/tender parotid glands, Painful chewing, Headache, Malaise","Mumps virus transmitted via respiratory droplets; decreased incidence in vaccinated populations","Supportive care (rest, hydration, analgesics), isolation to prevent spread, vaccination prevents disease","Supportive treatment only; MMR vaccine for prevention"
Rubella (German measles),"A generally mild viral illness in children/adults but concerning in pregnancy due to congenital rubella syndrome.","Low-grade fever, Rash starting on face and spreading, Lymphadenopathy, Mild arthralgia","Rubella virus transmitted by respiratory droplets; risk of fetal infection if in early pregnancy","Supportive care; prevention via vaccination, pregnancy management includes screening and counseling","No specific antivirals; MMR vaccination is key prevention"
